tstamp	bike	bikeCity	active	repair	missed	comments	description	bc_serial	real_battery	last_communication	last_communication_sim	last_communication_reason	last_rental_changed	last_rental	place_name	lat	lng	lastLat	lastLng	accuracy	location_type
2025-10-21 12:34	410044	408	0	1	0	""	""	10000137701	3552	"2025-05-20 10:38:52"	"2025-05-20 10:38:52"	"HEARTBEAT"	1744999075	1744999075	"Patinetas arregladas"	28,146930108263	-15,410985946655				
2025-11-15 11:03	410043	408	0	1	0	"no ancla batería "	"08.09.2024 21:12:00: Returned by tier"	10000137883	3552	"2025-02-20 15:01:25"	"2025-02-20 15:01:25"	"HEARTBEAT"	1726241009	1726241009	"Patinetas para reparar"	28,146930108263337	-15,410985946655273				
2025-11-15 11:03	410042	408	0	1	0	""	"no enciende el panel pero si da la bateria"	10000137766	3552	"2025-05-27 14:09:46"	"2025-05-27 14:09:46"	"HEARTBEAT"	1745228661	1745228661	"Patinetas para reparar"	28,146930108263337	-15,410985946655273				
2025-11-15 11:03	410041	408	0	1	0	"frita, no. responde "	""	10000155623	3552	"2025-05-22 19:06:06"	"2025-05-22 19:06:06"	"HEARTBEAT"	1740147979	1740147979	"Patinetas para reparar"	28,146930108263337	-15,410985946655273				
2025-10-21 12:34	410040	408	0	0	0	""	""	10000209474	3552	"2025-06-01 20:48:20"	"2025-06-01 20:48:20"	"HEARTBEAT"	1745144567	1745144567	"Patinetas arregladas"	28,146930108263	-15,410985946655				
2025-11-15 11:03	410039	408	0	0	0	"No da comunicación alguna, failed dependency continuo"	"04.12.2023 11:58:21: TierVehicle is not rentable04.12.2023 11:58:20: TierVehicle is not rentable03.12.2023 19:59:53: se me spago y no se enciende"	10000143974	3976	"2025-02-27 12:46:46"	"2025-02-27 12:46:46"	"HEARTBEAT"	1701687500	1701687500	"Patinetas para reparar"	28,146930108263337	-15,410985946655273				
2025-10-21 12:34	410038	408	0	0	0	""	""	10000129313	3552	"2025-06-01 10:22:44"	"2025-06-01 10:22:44"	"HEARTBEAT"	1745180287	1745180287	"Patinetas arregladas"	28,146930108263	-15,410985946655				
2025-10-21 12:34	410037	408	0	0	0	"pruebas viernes 30 Mayo"	""	10000137799	3552	"2025-08-26 19:18:24"	"2025-08-26 19:18:24"	"HEARTBEAT"	1754982497	1754982497	"Patinetas arregladas"	28,146930108263	-15,410985946655				
2025-11-15 11:03	410036	408	0	1	0	"se para la patineta en Hotel Santa Catalina (pierde velocidad) no tiene aviso sonoro"	"se ha probado el cableado,esta bien.fallo del iot"	10000128855	3552	"2025-02-28 13:27:42"	"2025-02-28 13:27:42"	"HEARTBEAT"	1706016356	1706016356	"Patinetas para reparar"	28,146930108263337	-15,410985946655273				
2025-11-15 11:03	410035	408	0	0	0	""	""	10000151747	3552	"2025-02-28 14:51:54"	"2025-02-28 14:51:54"	"HEARTBEAT"	1733070156	1733070156	"Patinetas para reparar"	28,146930108263337	-15,410985946655273				
2025-10-21 12:34	410034	408	0	0	0	""	""	10000129665	3552	"2025-05-19 21:53:13"	"2025-05-19 21:53:13"	"HEARTBEAT"	1744880308	1744880308	"Patinetas arregladas"	28,146930108263	-15,410985946655				
2025-11-15 11:03	410033	408	0	0	0	"no tiene aviso acústico, 1 semana con batería puesta y no funcionó"	""	10000131232	3552	"2025-03-01 22:50:36"	"2025-03-01 22:50:36"	"HEARTBEAT"	1702063119	1702063119	"Patinetas para reparar"	28,146930108263337	-15,410985946655273				
2025-10-21 12:34	410032	408	0	0	0	""	""	10000137532	3552	"2025-05-24 08:28:18"	"2025-05-24 08:28:18"	"HEARTBEAT"	1742672054	1742672054	"Patinetas arregladas"	28,146930108263	-15,410985946655				
2025-10-21 12:34	410031	408	0	0	0	""	""	10000142179	3552	"2025-05-24 20:37:25"	"2025-05-24 20:37:25"	"HEARTBEAT"	1744826914	1744826914	"Patinetas arregladas"	28,146930108263	-15,410985946655				
2025-11-15 11:03	410030	408	0	1	0	"no detecta bateria"	"17.12.2024 22:57:14: Returned by tier"	10000133212	3552	"2025-02-28 07:14:40"	"2025-02-28 07:14:40"	"HEARTBEAT"	1734472634	1734472634	"Patinetas para reparar"	28,146930108263337	-15,410985946655273				
2025-10-21 12:34	410029	408	0	0	0	""	""	10000136255	3552	"2025-09-19 00:12:01"	"2025-09-19 00:12:01"	"HEARTBEAT"	1754990387	1754990387	"Patinetas arregladas"	28,146930108263	-15,410985946655				
2025-10-21 12:34	410028	408	0	0	0	""	""	10000132002	3552	"2025-05-28 16:45:19"	"2025-05-28 16:45:19"	"HEARTBEAT"	1745165631	1745165631	"Patinetas arregladas"	28,146930108263	-15,410985946655				
2025-10-21 12:34	410027	408	0	1	0	""	""	10000139068	3552	"2025-05-18 03:30:32"	"2025-05-18 03:30:32"	"HEARTBEAT"	1744724277	1744724277	"Patinetas arregladas"	28,146930108263	-15,410985946655				
2025-11-15 11:03	410026	408	0	0	0	"no tiene aviso sonoro"	""	10000136057	3768	"2025-03-10 20:52:50"	"2025-03-10 20:52:50"	"HEARTBEAT"	1697630364	1697630364	"Patinetas para reparar"	28,146930108263337	-15,410985946655273				
2025-10-21 12:34	410025	408	0	0	0	"En Oficina para uso de empleados."	""	10000144419	3552	"2025-05-22 17:09:49"	"2025-05-22 17:09:49"	"HEARTBEAT"	1739534756	1739534756	"Patinetas arregladas"	28,146930108263	-15,410985946655				
2025-10-21 12:34	410024	408	0	0	0	""	""	10000128847	3552	"2025-05-20 12:24:43"	"2025-05-20 12:24:43"	"HEARTBEAT"	1745168986	1745168986	"Patinetas arregladas"	28,146930108263	-15,410985946655				
2025-10-21 12:34	410023	408	0	0	0	""	""	10000129744	3552	"2025-05-24 19:48:22"	"2025-05-24 19:48:22"	"HEARTBEAT"	1743437612	1743437612	"Patinetas arregladas"	28,146930108263	-15,410985946655				
2025-10-21 12:34	410022	408	0	0	0	""	""	10000130447	3552	"2025-05-22 11:45:37"	"2025-05-22 11:45:37"	"HEARTBEAT"	1745257311	1745257311	"Patinetas arregladas"	28,146930108263	-15,410985946655				
2025-11-15 11:03	410021	408	0	1	0	"Desaparecida en Lomo Los Frailes y recuperada en el CEIP Alfredo Kraus. Soporte del móvil arrancado. Sin aviso sonoro (cambiamos IoT desde la 410049)"	"10.10.2023 23:58:05: Returned by tier"	10000128949	3552	"2025-03-02 22:31:01"	"2025-03-02 22:31:01"	"HEARTBEAT"	1696975085	1696975085	"Patinetas para reparar"	28,146930108263337	-15,410985946655273				
2025-10-21 12:34	410020	408	0	1	0	""	""	10000204901	3552	"2025-06-05 19:59:59"	"2025-06-05 19:59:59"	"HEARTBEAT"	1744817483	1744817483	"Patinetas arregladas"	28,146930108263	-15,410985946655				
2025-11-15 11:03	410019	408	0	0	0	"sin timbre "	"el ordenador se enciende,pita pero no da mas datos"	10000218939	3552	"2025-03-03 05:17:58"	"2025-03-03 05:17:58"	"HEARTBEAT"	1738656006	1738656006	"Patinetas para reparar"	28,146930108263337	-15,410985946655273				
2025-10-21 12:34	410018	408	0	0	0	""	""	10000173963	3552	"2025-05-27 17:03:35"	"2025-05-27 17:03:35"	"HEARTBEAT"	1744909329	1744909329	"Patinetas arregladas"	28,146930108263	-15,410985946655				
2025-10-21 12:34	410017	408	0	0	0	""	""	10000173853	3552	"2025-06-04 17:20:54"	"2025-06-04 17:20:54"	"HEARTBEAT"	1745079363	1745079363	"Patinetas arregladas"	28,146930108263	-15,410985946655				
2025-10-21 12:34	410016	408	0	0	0	""	""	10000135690	3552	"2025-06-14 03:41:21"	"2025-06-14 03:41:21"	"HEARTBEAT"	1745312001	1745312001	"Patinetas arregladas"	28,146930108263	-15,410985946655				
2025-11-15 11:03	410015	408	0	0	0	""	"ordenador no pita"	10000128875	3552	"2025-02-28 10:51:37"	"2025-02-28 10:51:37"	"HEARTBEAT"	1734178525	1734178525	"Patinetas para reparar"	28,146930108263337	-15,410985946655273				
2025-10-21 12:34	410014	408	0	0	0	""	""	10000128220	3552	"2025-05-15 20:03:58"	"2025-05-15 20:03:58"	"HEARTBEAT"	1745246597	1745246597	"Patinetas arregladas"	28,146930108263	-15,410985946655				
2025-11-15 11:03	410013	408	0	1	0	"sin comunicación "	"revisar da error en pantalla"	10000135573	3552	"2025-02-27 11:19:16"	"2025-02-27 11:19:16"	"HEARTBEAT"	1715532363	1715532363	"Patinetas para reparar"	28,146930108263337	-15,410985946655273				
2025-10-21 12:34	410012	408	0	0	0	""	""	10000128375	3552	"2025-05-18 11:34:52"	"2025-05-18 11:34:52"	"HEARTBEAT"	1744560853	1744560853	"Patinetas arregladas"	28,146930108263	-15,410985946655				
2025-10-21 12:34	410011	408	0	0	0	""	""	10000130268	3552	"2025-05-25 21:20:09"	"2025-05-25 21:20:09"	"HEARTBEAT"	1741188795	1741188794	"Patinetas arregladas"	28,146930108263	-15,410985946655				
